REF_DATE,Active businesses,Closing businesses,Continuing businesses,Entrants,Exits,Opening businesses,Reopening businesses,Temporary closures
2015-01-01,870075.0,36131.0,820994.0,17566.0,13207.0,42422.0,24856.0,22924.0
2015-02-01,872346.0,36658.0,831302.0,16621.0,13462.0,42576.0,25955.0,23196.0
2015-03-01,874296.0,36089.0,838729.0,15985.0,13923.0,38921.0,22936.0,22166.0
2015-04-01,874990.0,39125.0,835310.0,16796.0,15077.0,40080.0,23284.0,24048.0
2015-05-01,877874.0,36576.0,837190.0,14793.0,13417.0,40869.0,26076.0,23159.0
2015-06-01,876485.0,39085.0,840504.0,12831.0,13692.0,37545.0,24714.0,25393.0
2015-07-01,879082.0,38242.0,837200.0,16807.0,14030.0,41336.0,24529.0,24212.0
2015-08-01,880757.0,37223.0,841565.0,14975.0,13527.0,39594.0,24619.0,23696.0
2015-09-01,878856.0,38014.0,842764.0,12477.0,13609.0,33138.0,20661.0,24405.0
2015-10-01,880236.0,39083.0,839719.0,16799.0,14304.0,41214.0,24415.0,24779.0
2015-11-01,881002.0,38528.0,838598.0,17784.0,14597.0,43115.0,25331.0,23931.0
2015-12-01,878682.0,39328.0,841839.0,17672.0,13867.0,38154.0,20482.0,25461.0
2016-01-01,890436.0,38188.0,842422.0,16363.0,14744.0,42678.0,26315.0,23444.0
2016-02-01,880129.0,46531.0,841087.0,15026.0,15805.0,40023.0,24997.0,30726.0
2016-03-01,879629.0,40487.0,841152.0,15255.0,14443.0,40835.0,25580.0,26044.0
2016-04-01,882255.0,39131.0,840743.0,15627.0,14136.0,41857.0,26230.0,24995.0
2016-05-01,881281.0,39753.0,841702.0,15655.0,16219.0,39990.0,24335.0,23534.0
2016-06-01,881448.0,38041.0,845004.0,12467.0,10598.0,38076.0,25609.0,27443.0
2016-07-01,881149.0,44540.0,836445.0,17453.0,19617.0,44581.0,27128.0,24923.0
2016-08-01,881019.0,40800.0,840827.0,16079.0,16042.0,40405.0,24326.0,24758.0
2016-09-01,880469.0,39777.0,841522.0,12855.0,13003.0,36657.0,23802.0,26774.0
2016-10-01,880924.0,41230.0,839646.0,16038.0,15057.0,41976.0,25938.0,26173.0
2016-11-01,881359.0,41958.0,835513.0,21298.0,17979.0,47368.0,26070.0,23979.0
2016-12-01,884015.0,40377.0,841438.0,15999.0,15357.0,42165.0,26166.0,25020.0
2017-01-01,886144.0,41382.0,842873.0,15379.0,14858.0,40154.0,24775.0,26524.0
2017-02-01,889213.0,37051.0,848861.0,16169.0,13680.0,41286.0,25117.0,23371.0
2017-03-01,884226.0,44996.0,844706.0,16355.0,15141.0,41108.0,24753.0,29855.0
2017-04-01,885781.0,40217.0,844472.0,15354.0,14559.0,41450.0,26096.0,25658.0
2017-05-01,888947.0,35907.0,847786.0,15363.0,13338.0,41939.0,26576.0,22569.0
2017-06-01,892660.0,40658.0,849927.0,16541.0,14600.0,43246.0,26705.0,26058.0
2017-07-01,888703.0,41529.0,850737.0,13173.0,14837.0,37106.0,23933.0,26692.0
2017-08-01,890797.0,40344.0,848824.0,15345.0,14304.0,42451.0,27106.0,26040.0
2017-09-01,893263.0,42141.0,849129.0,16486.0,15447.0,42719.0,26233.0,26694.0
2017-10-01,891845.0,41256.0,852603.0,15849.0,14873.0,39317.0,23468.0,26383.0
2017-11-01,892760.0,34098.0,854499.0,13182.0,10899.0,38697.0,25515.0,23199.0
2017-12-01,892488.0,41484.0,851909.0,14617.0,14840.0,41030.0,26413.0,26644.0
2018-01-01,893197.0,41143.0,851306.0,15033.0,14672.0,40502.0,25469.0,26471.0
2018-02-01,895348.0,39581.0,853653.0,15740.0,14450.0,41761.0,26021.0,25131.0
2018-03-01,896385.0,41632.0,853159.0,16205.0,14953.0,43001.0,26796.0,26679.0
2018-04-01,897626.0,39999.0,855584.0,15434.0,14499.0,40566.0,25132.0,25500.0
2018-05-01,894658.0,42199.0,853730.0,15569.0,15322.0,40386.0,24817.0,26877.0
2018-06-01,900096.0,41396.0,853478.0,15030.0,13413.0,45852.0,30822.0,27983.0
2018-07-01,900152.0,39659.0,859740.0,12203.0,13339.0,39932.0,27729.0,26320.0
2018-08-01,897639.0,46139.0,855141.0,16671.0,18255.0,42154.0,25483.0,27884.0
2018-09-01,898691.0,42712.0,855517.0,14901.0,13971.0,42606.0,27705.0,28741.0
2018-10-01,899546.0,42416.0,857053.0,15249.0,14303.0,43129.0,27880.0,28113.0
2018-11-01,899296.0,52514.0,845350.0,30484.0,26917.0,59088.0,28604.0,25597.0
2018-12-01,899564.0,42910.0,857741.0,15432.0,14092.0,41770.0,26338.0,28818.0
2019-01-01,899133.0,42623.0,856212.0,15179.0,14171.0,42696.0,27517.0,28452.0
2019-02-01,900562.0,42235.0,857223.0,14911.0,14730.0,42627.0,27716.0,27505.0
2019-03-01,903380.0,40436.0,859423.0,15090.0,13573.0,43068.0,27978.0,26863.0
2019-04-01,904602.0,42020.0,860496.0,14480.0,13835.0,42087.0,27607.0,28185.0
2019-05-01,906063.0,43148.0,860175.0,15683.0,14434.0,44191.0,28508.0,28714.0
2019-06-01,906961.0,43251.0,861825.0,16648.0,15596.0,44705.0,28057.0,27655.0
2019-07-01,908005.0,41466.0,865379.0,15019.0,15454.0,43331.0,28312.0,26012.0
2019-08-01,909172.0,40187.0,868334.0,14138.0,14805.0,40717.0,26579.0,25382.0
2019-09-01,907822.0,42615.0,867773.0,15753.0,16255.0,41085.0,25332.0,26360.0
2019-10-01,906892.0,41589.0,867044.0,14076.0,14949.0,40566.0,26490.0,26640.0
2019-11-01,905238.0,40207.0,866249.0,15263.0,15430.0,41761.0,26498.0,24777.0
2019-12-01,906932.0,40511.0,866004.0,15393.0,15256.0,41791.0,26398.0,25255.0
2020-01-01,904346.0,41542.0,862637.0,15264.0,16003.0,41590.0,26326.0,25539.0
2020-02-01,903195.0,38806.0,864773.0,12326.0,14061.0,36649.0,24323.0,24745.0
2020-03-01,873784.0,57059.0,839450.0,10530.0,15678.0,34692.0,24162.0,41381.0
2020-04-01,816298.0,110304.0,775991.0,11709.0,25017.0,37275.0,25566.0,85287.0
2020-05-01,793165.0,77807.0,742818.0,8223.0,16341.0,47939.0,39716.0,61466.0
2020-06-01,799906.0,56987.0,732826.0,11061.0,13619.0,61795.0,50734.0,43368.0
2020-07-01,821262.0,35832.0,761717.0,13246.0,13485.0,64188.0,50942.0,22347.0
2020-08-01,836967.0,29744.0,789130.0,11805.0,9813.0,50107.0,38302.0,19931.0
2020-09-01,852654.0,33268.0,803852.0,14562.0,11725.0,49333.0,34771.0,21543.0
2020-10-01,862501.0,35518.0,816125.0,16692.0,13384.0,49235.0,32543.0,22134.0
2020-11-01,863966.0,41564.0,821234.0,21416.0,17631.0,47055.0,25639.0,23933.0
2020-12-01,878538.0,36758.0,828842.0,16143.0,11179.0,47329.0,31186.0,25579.0
2021-01-01,883010.0,39422.0,838160.0,16679.0,12944.0,44563.0,27884.0,26478.0
2021-02-01,887750.0,40543.0,842255.0,16132.0,13674.0,44592.0,28460.0,26869.0
2021-03-01,893305.0,39225.0,846584.0,16812.0,13524.0,44778.0,27966.0,25701.0
2021-04-01,892885.0,41499.0,849026.0,17492.0,14796.0,41775.0,24283.0,26703.0
2021-05-01,893565.0,39106.0,852533.0,13700.0,11220.0,38646.0,24946.0,27886.0
2021-06-01,893151.0,41160.0,850176.0,16506.0,13807.0,43044.0,26538.0,27353.0
2021-07-01,901562.0,36155.0,857382.0,15221.0,13219.0,46009.0,30788.0,22936.0
2021-08-01,903641.0,40108.0,862650.0,15477.0,13593.0,41327.0,25850.0,26515.0
2021-09-01,905253.0,41682.0,864515.0,15554.0,14405.0,41961.0,26407.0,27277.0
2021-10-01,909234.0,39556.0,867055.0,16145.0,12864.0,43451.0,27306.0,26692.0
2021-11-01,911894.0,40866.0,870313.0,16196.0,14005.0,44058.0,27862.0,26861.0
2021-12-01,913858.0,42721.0,871374.0,16117.0,14830.0,42880.0,26763.0,27891.0
2022-01-01,918588.0,40505.0,873757.0,16372.0,13419.0,43823.0,27451.0,27086.0
2022-02-01,919950.0,45162.0,873310.0,18115.0,14748.0,46176.0,28061.0,30414.0
2022-03-01,922551.0,42737.0,875215.0,17689.0,14932.0,45202.0,27513.0,27805.0
2022-04-01,925517.0,39051.0,880090.0,16254.0,12963.0,44103.0,27849.0,26088.0
2022-05-01,926249.0,43065.0,882695.0,15608.0,14252.0,42503.0,26895.0,28813.0
